CODEPRA	MA	CroplandFraction	FodderlandFraction	NPGFraction	PGFraction	ForestFraction
27050	22825	0,40963	0,040789	0,018051	0,10208	0,42944
77062	30709	0,40941	0,0022143	0,012211	0,022046	0,55412
78055	2308,8	0,40856	0,008418	0,027531	0,099618	0,45587
11392	75855	0,40191	0,0048777	0,054749	0,14648	0,39198
53356	108010	0,40022	0,18914	0,25805	0,11819	0,034405
62040	8759,5	0,39909	0,039842	0,017581	0,19476	0,34873
26242	32200	0,39751	0,017391	0,071211	0,12205	0,39184
41435	28275	0,39339	0,00626	0,046508	0,046367	0,50747
64380	40662	0,39141	0,047243	0,11969	0,10587	0,33578
64382	9219,7	0,39081	0,039484	0,19621	0,074732	0,29877
57308	35605	0,39038	0,0048307	0,0068529	0,076674	0,52126
61351	148670	0,3885	0,066329	0,041536	0,28159	0,22204
72351	64553	0,38621	0,08711	0,054746	0,27117	0,20076
65386	4064,8	0,38549	0,034934	0,14515	0,064209	0,37022
76048	48345	0,38474	0,098894	0,049726	0,23186	0,23479
55314	324950	0,3845	0,024749	0,012017	0,13636	0,44238
33402	10551	0,38334	0,052683	0,10626	0,16889	0,28883
76049	39290	0,38231	0,073785	0,020743	0,22372	0,29944
35359	95121	0,37868	0,19981	0,23816	0,073117	0,11023
60331	32633	0,37802	0,086293	0,026231	0,29945	0,21001
82154	8786,9	0,37645	0,031866	0,16718	0,062479	0,36203
57004	12244	0,37385	0,030682	0,029427	0,2125	0,35354
67304	82773	0,37264	0,04081	0,029007	0,19238	0,36516
61352	53660	0,36641	0,060119	0,048453	0,28693	0,23809
72350	41789	0,36623	0,052693	0,076168	0,19792	0,30699
91333	6846,2	0,36602	0	0,002191	0,020887	0,6109
77057	28288	0,36449	0,0023685	0,010888	0,020892	0,60137
10318	91475	0,36185	0,026237	0,027713	0,11697	0,46723
52314	252360	0,35838	0,021446	0,015482	0,10705	0,49764
65389	18860	0,35663	0,0099152	0,22927	0,079693	0,32449
37074	12220	0,35444	0,023487	0,13765	0,17185	0,31258
22362	71950	0,35366	0,13122	0,26171	0,09779	0,15562
70205	52426	0,35257	0,034258	0,040266	0,15097	0,42193
52012	18745	0,35203	0,029661	0,021179	0,10691	0,49022
29362	100150	0,35138	0,14252	0,28781	0,063907	0,15438
01446	98730	0,35128	0,065927	0,14312	0,27469	0,16498
35097	170940	0,35107	0,19711	0,27615	0,076587	0,099077
46396	42188	0,35085	0,030198	0,1139	0,10773	0,39733
55316	113650	0,34894	0,052338	0,017379	0,20124	0,3801
71446	78123	0,34838	0,029837	0,083752	0,29181	0,24622
18179	69666	0,34544	0,011814	0,05957	0,35274	0,23043
26241	13998	0,3414	0,021075	0,088658	0,15003	0,39884
53095	64695	0,34036	0,1218	0,18485	0,26479	0,088195
29358	28809	0,34018	0,17841	0,24513	0,12954	0,10673
88305	7539	0,33956	0,065847	0,018382	0,24154	0,33467
02323	103360	0,33908	0,078254	0,0091045	0,39879	0,17477
21311	254130	0,33789	0,011463	0,033219	0,086138	0,53129
56362	156170	0,33758	0,13441	0,24452	0,07901	0,20449
54306	214210	0,33514	0,04911	0,032109	0,25598	0,32766
34471	46655	0,33493	0,0048869	0,018755	0,15428	0,48714
31389	83173	0,33414	0,034001	0,22755	0,18542	0,21889
35363	131380	0,3338	0,16627	0,25957	0,051241	0,18912
38199	218110	0,332	0,042111	0,059822	0,23265	0,33341
49345	99245	0,33095	0,070674	0,091955	0,14551	0,36091
29363	125460	0,32931	0,15094	0,28363	0,072375	0,16374
51017	29714	0,32764	0,0042405	0,026789	0,025678	0,61565
33123	996,89	0,32604	0	0,0080249	0,10733	0,5586
47394	2892,6	0,32599	0,03872	0,12688	0,12895	0,37946
72090	6459,8	0,32573	0,10031	0,089322	0,22957	0,25506
52311	82218	0,32537	0,017977	0,043251	0,1435	0,46991
85368	257090	0,32479	0,16389	0,32004	0,13334	0,057939
40388	35546	0,32402	0,0045044	0,054292	0,030692	0,58649
55308	39196	0,32359	0,050847	0,01569	0,29633	0,31354
24158	83526	0,3232	0,022173	0,08717	0,13505	0,43241
27353	14125	0,32231	0,092146	0,02389	0,43037	0,13128
72093	34554	0,32215	0,11275	0,10265	0,30853	0,15392
49356	131700	0,32163	0,12281	0,33234	0,14905	0,074173
79368	114010	0,32045	0,077773	0,34355	0,16264	0,095586
40133	39963	0,31961	0,0099342	0,029828	0,016665	0,62396
52321	14146	0,31887	0,0072271	0,0079009	0,082285	0,58372
68002	2619,5	0,3173	0,021378	0,0064899	0,059554	0,59528
72089	129930	0,31561	0,083668	0,082421	0,20369	0,31462
27051	4366,4	0,31413	0,036414	0,022444	0,41567	0,21134
72345	4502,9	0,31413	0,060739	0,11826	0,18943	0,31744
78054	56919	0,31306	0,0033029	0,012017	0,033521	0,6381
54305	69032	0,31305	0,0165	0,0098215	0,11238	0,54824
44356	98027	0,30973	0,12502	0,39448	0,096504	0,074264
57473	189460	0,30957	0,048581	0,042928	0,30415	0,29477
62029	49017	0,30866	0,12606	0,040762	0,32203	0,20249
37344	33132	0,30819	0,0092357	0,023783	0,10192	0,55687
72354	27479	0,30641	0,10696	0,1487	0,2931	0,14484
18437	26662	0,30568	0,018903	0,11357	0,47625	0,085593
18436	58312	0,30517	0,018247	0,22585	0,3146	0,13613
89442	21867	0,30485	0,011067	0,037225	0,4172	0,22965
76331	96434	0,30377	0,099737	0,034324	0,34682	0,21535
44368	12945	0,30284	0,16076	0,39159	0,067286	0,077524
36436	178750	0,30044	0,016151	0,27218	0,24908	0,16214
43427	10048	0,29573	0,11047	0,12003	0,24175	0,23201
44104	49539	0,29146	0,1474	0,35881	0,075577	0,12676
55315	78263	0,29139	0,043814	0,014196	0,23392	0,41669
65148	36245	0,28976	0,035288	0,15795	0,15892	0,35808
60328	30544	0,28905	0,0030447	0,0036995	0,0089378	0,69526
52318	17535	0,2888	0,081121	0,043604	0,23365	0,35282
14085	63755	0,28632	0,17153	0,060011	0,45844	0,023695
37072	7023	0,28205	0,0034173	0,014381	0,021074	0,67907
16438	2478,7	0,27596	0,073828	0,30419	0,13354	0,21249
29361	130510	0,27401	0,18579	0,30443	0,090506	0,14526
70447	24041	0,27378	0,033277	0,075039	0,19958	0,41832
39446	43428	0,27222	0,015405	0,093119	0,20929	0,40997
86182	41293	0,27095	0,023563	0,42631	0,20567	0,073496
58340	9952,2	0,2702	0,026199	0,15095	0,16218	0,39048
22360	129710	0,26931	0,17962	0,32532	0,086499	0,13925
79373	116120	0,26818	0,090659	0,35724	0,23328	0,05063
21010	17218	0,268	0,012058	0,0072821	0,028168	0,68449
84464	19039	0,26656	0,0010505	0,017491	0,0046222	0,71028
33401	5596,7	0,26577	0,024479	0,084514	0,15527	0,46997
27332	21141	0,26493	0,0060547	0,01088	0,04418	0,67396
24401	86024	0,26478	0,022808	0,10939	0,12602	0,477
56363	207460	0,2631	0,13165	0,23959	0,06384	0,30182
14354	124120	0,2629	0,16	0,13053	0,32432	0,12225
53096	45267	0,26274	0,16339	0,25414	0,23589	0,083847
39447	48322	0,26222	0,026179	0,04915	0,13594	0,52651
70007	239770	0,26045	0,024073	0,037569	0,24386	0,43405
44108	46217	0,25535	0,13069	0,41156	0,15323	0,049174
40145	13000	0,2524	0,025769	0,037076	0,065692	0,61907
04233	39314	0,25192	0,0092587	0,026708	0,065269	0,64685
50087	73006	0,25044	0,23005	0,20507	0,27132	0,043117
49373	176530	0,25025	0,12414	0,34792	0,20486	0,072822
95333	3017,4	0,24988	0	0	0,0086167	0,7415
33116	1061,2	0,24816	0	0,042406	0,38825	0,32119
